x,AMACHE,,CON SUPPORTO,,,,,,,,,,,,,,,,
,AMACHE,42620,,,,,,,,,,,,,,,,,
,AMACHE,42520,X,,,,,,,,,,,,,,,,
,AMACHE,42500,X,,,,,,,,,,,,,,,,
,AMACHE,42600,,,,,,,,,,,,,,,,,
x,BASI PER TAVOLI,,DA INTERNO,DA ESTERNO,GHISA,ALLUMINIO,ACCIAIO,RIBALTABILE,ALTA,PER TAVOLI TONDI,PER TAVOLI QUADRI,PER TAVOLI RETTANGOLARI,REGOLABILI,,,,,,
,BASI PER TAVOLI,10220,,X,,X,,,,,,X,,,,,,,
,BASI PER TAVOLI,10120,X,,X,,X,,,,,X,,,,,,,
,BASI PER TAVOLI,10205,,X,,X,,,,X,,,,,,,,,
,BASI PER TAVOLI,10110,X,,X,,X,,,X,,,,,,,,,
,BASI PER TAVOLI,10225,,X,,X,,,,X,,,,,,,,,
,BASI PER TAVOLI,10215,,X,,X,,,X,X,X,,,,,,,,
,BASI PER TAVOLI,10210,,X,,X,,,,X,X,,,,,,,,
,BASI PER TAVOLI,10115,X,,X,,X,,,X,X,,,,,,,,
,BASI PER TAVOLI,10230,,X,,X,,,,X,X,,,,,,,,
,BASI PER TAVOLI,10165,,X,X,,X,,X,,X,,,,,,,,
,BASI PER TAVOLI,10140,X,,X,,X,,X,,X,,,,,,,,
,BASI PER TAVOLI,10185,,X,X,,X,,,,X,X,X,,,,,,
,BASI PER TAVOLI,10160,,X,X,,X,,,,X,,,,,,,,
,BASI PER TAVOLI,10135,X,,X,,X,,,,X,,,,,,,,
,BASI PER TAVOLI,10175,,X,X,,X,,,,,X,,,,,,,
,BASI PER TAVOLI,10150,X,,X,,X,,,,,X,,,,,,,
,BASI PER TAVOLI,10195,,X,,X,X,X,,X,X,,,,,,,,
,BASI PER TAVOLI,10170,,X,X,,X,,,X,,,,,,,,,
,BASI PER TAVOLI,10130,X,,X,,X,,,X,,,,,,,,,
,BASI PER TAVOLI,33100,,X,,,,,,,X,,,,,,,,
,BASI PER TAVOLI,33105,,X,,,,,,,X,,,,,,,,
x,PIANI TAVOLI,,INTERNO ,ESTERNO,QUADRI,TONDI,RETTANGOLARI,,,,,,,,,,,,
,PIANI TAVOLI,75021,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,75022,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,75024,,X,,X,,,,,,,,,,,,,
,PIANI TAVOLI,75026,,X,,X,,,,,,,,,,,,,
,PIANI TAVOLI,75027,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,75041,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,75042,,X,,,X,,,,,,,,,,,,
,PIANI TAVOLI,75044,,X,,,X,,,,,,,,,,,,
,PIANI TAVOLI,75046,,X,,X,,,,,,,,,,,,,
,PIANI TAVOLI,75047,,X,,X,,,,,,,,,,,,,
,PIANI TAVOLI,75061,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,75062,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,75064,,X,,,X,,,,,,,,,,,,
,PIANI TAVOLI,75066,,X,,X,,,,,,,,,,,,,
,PIANI TAVOLI,75067,,X,,X,,,,,,,,,,,,,
,PIANI TAVOLI,75081,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,75082,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,75084,,X,,,X,,,,,,,,,,,,
,PIANI TAVOLI,75086,,X,,X,,,,,,,,,,,,,
,PIANI TAVOLI,75087,,X,,X,,,,,,,,,,,,,
,PIANI TAVOLI,71360,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,71361,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,71362,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,71365,,X,,X,,,,,,,,,,,,,
,PIANI TAVOLI,71366,,X,,X,,,,,,,,,,,,,
,PIANI TAVOLI,71370,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,71371,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,71372,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,71375,,X,,X,,,,,,,,,,,,,
,PIANI TAVOLI,71376,,X,,X,,,,,,,,,,,,,
,PIANI TAVOLI,71271,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,71272,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,71276,,X,,X,,,,,,,,,,,,,
,PIANI TAVOLI,70702,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,70703,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,70704,,X,,,X,,,,,,,,,,,,
,PIANI TAVOLI,70705,,X,,X,,,,,,,,,,,,,
,PIANI TAVOLI,71210,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,71211,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,71212,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,71214,,X,,,X,,,,,,,,,,,,
,PIANI TAVOLI,71215,,X,,X,,,,,,,,,,,,,
,PIANI TAVOLI,71216,,X,,X,,,,,,,,,,,,,
,PIANI TAVOLI,71217,,X,,X,,,,,,,,,,,,,
,PIANI TAVOLI,70521,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,70522,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,70525,,X,,X,,,,,,,,,,,,,
,PIANI TAVOLI,70526,,X,,X,,,,,,,,,,,,,
,PIANI TAVOLI,70527,,X,,X,,,,,,,,,,,,,
,PIANI TAVOLI,70341,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,70342,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,70343,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,70344,,X,,,X,,,,,,,,,,,,
,PIANI TAVOLI,70345,,X,,X,,,,,,,,,,,,,
,PIANI TAVOLI,70346,,X,,X,,,,,,,,,,,,,
,PIANI TAVOLI,70347,,X,,X,,,,,,,,,,,,,
,PIANI TAVOLI,71221,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,71222,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,73060,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,73061,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,73062,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,73063,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,73064,,X,,,X,,,,,,,,,,,,
,PIANI TAVOLI,73065,,X,,X,,,,,,,,,,,,,
,PIANI TAVOLI,73066,,X,,X,,,,,,,,,,,,,
,PIANI TAVOLI,73067,,X,,X,,,,,,,,,,,,,
,PIANI TAVOLI,73068,,X,,X,,,,,,,,,,,,,
,PIANI TAVOLI,73069,,X,,X,,,,,,,,,,,,,
,PIANI TAVOLI,70211,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,70216,,X,,X,,,,,,,,,,,,,
,PIANI TAVOLI,70010,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,70011,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,70012,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,70014,,X,,,X,,,,,,,,,,,,
,PIANI TAVOLI,70015,,X,,X,,,,,,,,,,,,,
,PIANI TAVOLI,70016,,X,,X,,,,,,,,,,,,,
,PIANI TAVOLI,70017,,X,,X,,,,,,,,,,,,,
,PIANI TAVOLI,70019,,X,,X,,,,,,,,,,,,,
,PIANI TAVOLI,73290,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,73291,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,73295,,X,,X,,,,,,,,,,,,,
,PIANI TAVOLI,73296,,X,,X,,,,,,,,,,,,,
,PIANI TAVOLI,70551,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,70552,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,70555,,X,,X,,,,,,,,,,,,,
,PIANI TAVOLI,70556,,X,,X,,,,,,,,,,,,,
,PIANI TAVOLI,73380,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,73381,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,73385,,X,,X,,,,,,,,,,,,,
,PIANI TAVOLI,73386,,X,,X,,,,,,,,,,,,,
,PIANI TAVOLI,73280,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,73281,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,73285,,X,,X,,,,,,,,,,,,,
,PIANI TAVOLI,73286,,X,,X,,,,,,,,,,,,,
,PIANI TAVOLI,73390,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,73391,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,73395,,X,,X,,,,,,,,,,,,,
,PIANI TAVOLI,73396,,X,,X,,,,,,,,,,,,,
,PIANI TAVOLI,73161,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,73162,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,73167,,X,,X,,,,,,,,,,,,,
,PIANI TAVOLI,70600,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,70601,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,70602,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,70605,,X,,X,,,,,,,,,,,,,
,PIANI TAVOLI,70606,,X,,X,,,,,,,,,,,,,
,PIANI TAVOLI,73121,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,73122,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,73125,,X,,X,,,,,,,,,,,,,
,PIANI TAVOLI,73126,,X,,X,,,,,,,,,,,,,
,PIANI TAVOLI,70951,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,70952,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,70955,,X,,X,,,,,,,,,,,,,
,PIANI TAVOLI,71051,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,71052,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,71055,,X,,X,,,,,,,,,,,,,
,PIANI TAVOLI,71056,,X,,X,,,,,,,,,,,,,
,PIANI TAVOLI,73181,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,73182,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,73186,,X,,X,,,,,,,,,,,,,
,PIANI TAVOLI,70611,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,70615,,X,,X,,,,,,,,,,,,,
,PIANI TAVOLI,70616,,X,,X,,,,,,,,,,,,,
,PIANI TAVOLI,70581,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,70585,,X,,X,,,,,,,,,,,,,
,PIANI TAVOLI,70586,,X,,X,,,,,,,,,,,,,
,PIANI TAVOLI,71401,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,71406,,X,,X,,,,,,,,,,,,,
,PIANI TAVOLI,71791,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,71792,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,70741,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,70742,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,70746,,X,,X,,,,,,,,,,,,,
,PIANI TAVOLI,70761,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,70762,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,70766,,X,,X,,,,,,,,,,,,,
,PIANI TAVOLI,70751,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,70753,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,70756,,X,,X,,,,,,,,,,,,,
,PIANI TAVOLI,70461,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,70463,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,70466,,X,,X,,,,,,,,,,,,,
,PIANI TAVOLI,10561,X,,,,X,,,,,,,,,,,,
,PIANI TAVOLI,10541,X,,,X,,,,,,,,,,,,,
,PIANI TAVOLI,10560,X,,,,X,,,,,,,,,,,,
,PIANI TAVOLI,10540,X,,X,,,,,,,,,,,,,,
,PIANI TAVOLI,10550,X,,,X,,,,,,,,,,,,,
,PIANI TAVOLI,10490,X,,,,X,,,,,,,,,,,,
,PIANI TAVOLI,10450,X,,X,,,,,,,,,,,,,,
,PIANI TAVOLI,10470,X,,,X,,,,,,,,,,,,,
,PIANI TAVOLI,10418,,X,,,X,,,,,,,,,,,,
,PIANI TAVOLI,10410,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,10412,,X,X,,,,,,,,,,,,,,
,PIANI TAVOLI,10400,,X,,X,,,,,,,,,,,,,
,PIANI TAVOLI,10402,,X,,X,,,,,,,,,,,,,
x,LETTINI,,IMPILABILE,ALLUMINIO,FERRO,INOX,TECNORATTAN,MATERIALI MISTI,RESINA,,,,,,,,,,
,LETTINI,50341,,,,,X,,,,,,,,,,,,
,LETTINI,50339,,,,,X,,,,,,,,,,,,
,LETTINI,49380,,,,X,,X,,,,,,,,,,,
,LETTINI,50340,X,,,,X,,,,,,,,,,,,
,LETTINI,47115,X,,,,X,,,,,,,,,,,,
,LETTINI,64240,,X,,,,X,,,,,,,,,,,
,LETTINI,49680,,,,X,,X,,,,,,,,,,,
,LETTINI,61600,X,X,,,,X,,,,,,,,,,,
,LETTINI,52572,X,,,,X,,,,,,,,,,,,
,LETTINI,52571,X,,,,X,,,,,,,,,,,,
,LETTINI,49223,,,,X,X,X,,,,,,,,,,,
,LETTINI,49295,,,,X,,X,,,,,,,,,,,
,LETTINI,58420,,X,,,,X,,,,,,,,,,,
,LETTINI,63150,,,X,,,,,,,,,,,,,,
,LETTINI,8602962,X,,,,,,X,,,,,,,,,,
,LETTINI,8602979,X,,,,,,X,,,,,,,,,,
,LETTINI,8602986,X,,,,,,X,,,,,,,,,,
x,COPERTURE PER MOBILI E OMBRELLONI,,OMBRELLONE,MOBILI,,,,,,,,,,,,,,,
,COPERTURE PER MOBILI E OMBRELLONI,69204,,X,,,,,,,,,,,,,,,
,COPERTURE PER MOBILI E OMBRELLONI,69208,,X,,,,,,,,,,,,,,,
,COPERTURE PER MOBILI E OMBRELLONI,69224,,X,,,,,,,,,,,,,,,
,COPERTURE PER MOBILI E OMBRELLONI,45008,X,,,,,,,,,,,,,,,,
,COPERTURE PER MOBILI E OMBRELLONI,45010,X,,,,,,,,,,,,,,,,
,COPERTURE PER MOBILI E OMBRELLONI,45000,X,,,,,,,,,,,,,,,,
,COPERTURE PER MOBILI E OMBRELLONI,45002,X,,,,,,,,,,,,,,,,
,COPERTURE PER MOBILI E OMBRELLONI,45006,X,,,,,,,,,,,,,,,,
,COPERTURE PER MOBILI E OMBRELLONI,45004,X,,,,,,,,,,,,,,,,
,COPERTURE PER MOBILI E OMBRELLONI,69200,,X,,,,,,,,,,,,,,,
,COPERTURE PER MOBILI E OMBRELLONI,69212,,X,,,,,,,,,,,,,,,
,COPERTURE PER MOBILI E OMBRELLONI,69216,,X,,,,,,,,,,,,,,,
,COPERTURE PER MOBILI E OMBRELLONI,69220,,X,,,,,,,,,,,,,,,
x,CUSCINI,,PER SEDIE,PER LETTINI,PER DIVANO,PER POLTRONA,,,,,,,,,,,,,
,CUSCINI,66260,,X,,,,,,,,,,,,,,,
,CUSCINI,66261,,X,,,,,,,,,,,,,,,
,CUSCINI,66180,X,,,,,,,,,,,,,,,,
,CUSCINI,66181,X,,,,,,,,,,,,,,,,
,CUSCINI,66190,X,,,,,,,,,,,,,,,,
,CUSCINI,66191,X,,,,,,,,,,,,,,,,
,CUSCINI,66380,X,,,,,,,,,,,,,,,,
,CUSCINI,66381,X,,,,,,,,,,,,,,,,
,CUSCINI,66360,X,,,,,,,,,,,,,,,,
,CUSCINI,66361,X,,,,,,,,,,,,,,,,
,CUSCINI,31021,X,,,,,,,,,,,,,,,,
,CUSCINI,31025,X,,,,,,,,,,,,,,,,
,CUSCINI,31026,X,,,,,,,,,,,,,,,,
,CUSCINI,31028,X,,,,,,,,,,,,,,,,
,CUSCINI,8953146,,,X,,,,,,,,,,,,,,
,CUSCINI,8953136,,,,X,,,,,,,,,,,,,
x,POLTRONE,,TECNORATTAN ,ALLUMINIO,INOX,MATERIALI MISTI,COMPONIBILI,RESINA,,,,,,,,,,,
,POLTRONE,47592,X,,,,X,,,,,,,,,,,,
,POLTRONE,47586,X,,,,X,,,,,,,,,,,,
,POLTRONE,47589,X,,,,X,,,,,,,,,,,,
,POLTRONE,47595,X,,,,X,,,,,,,,,,,,
,POLTRONE,50331,X,,,,,,,,,,,,,,,,
,POLTRONE,50330,X,,,,,,,,,,,,,,,,
,POLTRONE,47536,X,,,,,,,,,,,,,,,,
,POLTRONE,50380,X,,,,,,,,,,,,,,,,
,POLTRONE,49137,X,,,,X,,,,,,,,,,,,
,POLTRONE,50526,X,,,,X,,,,,,,,,,,,
,POLTRONE,50525,X,,,,X,,,,,,,,,,,,
,POLTRONE,49133,X,,X,,X,,,,,,,,,,,,
,POLTRONE,58330,,X,,X,X,,,,,,,,,,,,
,POLTRONE,49300,,,X,X,,,,,,,,,,,,,
,POLTRONE,49141,X,,X,,X,,,,,,,,,,,,
,POLTRONE,50531,X,,,,X,,,,,,,,,,,,
,POLTRONE,50530,X,,,,X,,,,,,,,,,,,
,POLTRONE,58340,,X,,X,X,,,,,,,,,,,,
,POLTRONE,49620,,X,,X,,,,,,,,,,,,,
,POLTRONE,64210,,X,,X,,,,,,,,,,,,,
,POLTRONE,52312,X,,,,,,,,,,,,,,,,
,POLTRONE,47321,X,,,,,,,,,,,,,,,,
,POLTRONE,47320,X,,,,,,,,,,,,,,,,
,POLTRONE,31100,,X,,X,,,,,,,,,,,,,
,POLTRONE,49103,X,,X,,,,,,,,,,,,,,
,POLTRONE,47081,X,,,,,,,,,,,,,,,,
,POLTRONE,50501,X,,,,,,,,,,,,,,,,
,POLTRONE,50502,X,,,,,,,,,,,,,,,,
,POLTRONE,50500,X,,,,,,,,,,,,,,,,
,POLTRONE,50503,X,,,,,,,,,,,,,,,,
,POLTRONE,47565,X,,,,,,,,,,,,,,,,
,POLTRONE,50385,X,,,,X,,,,,,,,,,,,
,POLTRONE,8502894,,,,,,X,,,,,,,,,,,
,POLTRONE,8502856,,,,,,X,,,,,,,,,,,
,POLTRONE,8502863,,,,,,X,,,,,,,,,,,
,POLTRONE,47530,X,,,,,,,,,,,,,,,,
,POLTRONE,47101,X,,,,,,,,,,,,,,,,
x,DIVANI DIVANETTI E PANCHINE,,TECNORATTAN ,ALLUMINIO,ACCIAIO,MATERIALI MISTI,RESINA,,,,,,,,,,,,
,DIVANI DIVANETTI E PANCHINE,47105,X,,,,,,,,,,,,,,,,
,DIVANI DIVANETTI E PANCHINE,47086,X,,,,,,,,,,,,,,,,
,DIVANI DIVANETTI E PANCHINE,50311,X,,,,,,,,,,,,,,,,
,DIVANI DIVANETTI E PANCHINE,50310,X,,,,,,,,,,,,,,,,
,DIVANI DIVANETTI E PANCHINE,49310,,,X,X,,,,,,,,,,,,,
,DIVANI DIVANETTI E PANCHINE,52322,X,,,,,,,,,,,,,,,,
,DIVANI DIVANETTI E PANCHINE,47327,X,,,,,,,,,,,,,,,,
,DIVANI DIVANETTI E PANCHINE,47326,X,,,,,,,,,,,,,,,,
,DIVANI DIVANETTI E PANCHINE,49108,,,X,X,,,,,,,,,,,,,
,DIVANI DIVANETTI E PANCHINE,50506,X,,,,,,,,,,,,,,,,
,DIVANI DIVANETTI E PANCHINE,50507,X,,,,,,,,,,,,,,,,
,DIVANI DIVANETTI E PANCHINE,50505,X,,,,,,,,,,,,,,,,
,DIVANI DIVANETTI E PANCHINE,50508,X,,,,,,,,,,,,,,,,
,DIVANI DIVANETTI E PANCHINE,47568,X,,,,,,,,,,,,,,,,
,DIVANI DIVANETTI E PANCHINE,47088,X,,,,,,,,,,,,,,,,
,DIVANI DIVANETTI E PANCHINE,50321,X,,,,,,,,,,,,,,,,
,DIVANI DIVANETTI E PANCHINE,50320,X,,,,,,,,,,,,,,,,
,DIVANI DIVANETTI E PANCHINE,49315,,,X,X,,,,,,,,,,,,,
,DIVANI DIVANETTI E PANCHINE,52332,X,,,,,,,,,,,,,,,,
,DIVANI DIVANETTI E PANCHINE,47333,X,,,,,,,,,,,,,,,,
,DIVANI DIVANETTI E PANCHINE,47332,X,,,,,,,,,,,,,,,,
,DIVANI DIVANETTI E PANCHINE,49113,X,,X,X,,,,,,,,,,,,,
,DIVANI DIVANETTI E PANCHINE,50511,X,,,,,,,,,,,,,,,,
,DIVANI DIVANETTI E PANCHINE,50512,X,,,,,,,,,,,,,,,,
,DIVANI DIVANETTI E PANCHINE,50510,X,,,,,,,,,,,,,,,,
,DIVANI DIVANETTI E PANCHINE,50513,X,,,,,,,,,,,,,,,,
,DIVANI DIVANETTI E PANCHINE,47571,X,,,,,,,,,,,,,,,,
,DIVANI DIVANETTI E PANCHINE,52612,X,,,,,,,,,,,,,,,,
,DIVANI DIVANETTI E PANCHINE,52611,X,,,,,,,,,,,,,,,,
,DIVANI DIVANETTI E PANCHINE,64200,,X,,X,,,,,,,,,,,,,
,DIVANI DIVANETTI E PANCHINE,52342,X,,,,,,,,,,,,,,,,
,DIVANI DIVANETTI E PANCHINE,52602,X,,,,,,,,,,,,,,,,
,DIVANI DIVANETTI E PANCHINE,52601,X,,,,,,,,,,,,,,,,
,DIVANI DIVANETTI E PANCHINE,8452801,,,,,X,,,,,,,,,,,,
,DIVANI DIVANETTI E PANCHINE,8452818,,,,,X,,,,,,,,,,,,
,DIVANI DIVANETTI E PANCHINE,8452825,,,,,X,,,,,,,,,,,,
,DIVANI DIVANETTI E PANCHINE,52242,X,,,,,,,,,,,,,,,,
x,SOFA' E SGABELLI POGGIAPEDI,,TECNORATTAN ,ALLUMINIO,ACCIAIO,MATERIALI MISTI,,,,,,,,,,,,,
,SOFA' E SGABELLI POGGIAPEDI,47339,X,,,,,,,,,,,,,,,,
,SOFA' E SGABELLI POGGIAPEDI,47338,X,,,,,,,,,,,,,,,,
,SOFA' E SGABELLI POGGIAPEDI,47574,X,,,,,,,,,,,,,,,,
,SOFA' E SGABELLI POGGIAPEDI,50390,X,,,X,,,,,,,,,,,,,
,SOFA' E SGABELLI POGGIAPEDI,47598,X,,,X,,,,,,,,,,,,,
,SOFA' E SGABELLI POGGIAPEDI,58350,,X,,,,,,,,,,,,,,,
,SOFA' E SGABELLI POGGIAPEDI,50536,X,,,X,,,,,,,,,,,,,
,SOFA' E SGABELLI POGGIAPEDI,50535,X,,,X,,,,,,,,,,,,,
,SOFA' E SGABELLI POGGIAPEDI,47524,X,,,,,,,,,,,,,,,,
x,TAVOLINI,,TECNORATTAN ,ALLUMINIO,ACCIAIO,FERRO,RESINA,MATERIALI MISTI,PIANO IN TEAK,PIANO IN VETRO,TONDI,RETTANGOLARI,QUADRI,OVALI,,,,,
,TAVOLINI,47109,X,,,,,,,X,,X,,,,,,,
,TAVOLINI,47345,X,,,,,,,X,,,,X,,,,,
,TAVOLINI,47344,X,,,,,,,X,,,,X,,,,,
,TAVOLINI,49123,X,,X,,,,,X,,X,,,,,,,
,TAVOLINI,49218,X,,X,,,,,X,,,X,,,,,,
,TAVOLINI,52622,X,,,,,,,X,,,,X,,,,,
,TAVOLINI,52621,X,,,,,,,X,,,,X,,,,,
,TAVOLINI,47581,X,,,,,,,X,,,,X,,,,,
,TAVOLINI,50281,X,,,,,,X,,,,X,,,,,,
,TAVOLINI,50296,X,,,,,,,X,,,X,,,,,,
,TAVOLINI,50280,X,,,,,,,X,,,X,,,,,,
,TAVOLINI,50295,X,,,,,,,X,,,X,,,,,,
,TAVOLINI,52292,X,,,,,,,X,,,X,,,,,,
,TAVOLINI,49371,,,X,,,,,X,,,X,,,,,,
,TAVOLINI,64230,,X,,,,,,,,,X,,,,,,
,TAVOLINI,52282,X,,,,,,,X,,,X,,,,,,
,TAVOLINI,58430,,X,,,,,,,,,X,,,,,,
,TAVOLINI,63170,,,,X,,,,,,,X,,,,,,
,TAVOLINI,47096,X,,,,,,,X,,X,,,,,,,
,TAVOLINI,50291,X,,,,,,,X,,X,,,,,,,
,TAVOLINI,50286,X,,,,,,X,,,X,,,,,,,
,TAVOLINI,50290,X,,,,,,,X,,X,,,,,,,
,TAVOLINI,64220,,X,,,,,,,,X,,,,,,,
,TAVOLINI,49321,,,X,,,,,X,,X,,,,,,,
,TAVOLINI,50516,X,,,,,,,X,,X,,,,,,,
,TAVOLINI,50517,X,,,,,,,X,,X,,,,,,,
,TAVOLINI,50518,X,,,,,,,X,,X,,,,,,,
,TAVOLINI,50515,X,,,,,,,X,,X,,,,,,,
,TAVOLINI,47518,X,,,,,,,X,,X,,,,,,,
,TAVOLINI,52632,X,,,,,,,X,X,,,,,,,,
,TAVOLINI,52631,X,,,,,,,X,X,,,,,,,,
,TAVOLINI,47578,X,,,,,,,X,X,,,,,,,,
,TAVOLINI,47585,X,,,,,,,X,X,,,,,,,,
,TAVOLINI,8552887,,,,,X,,,,,X,,,,,,,
,TAVOLINI,8552894,,,,,X,,,,,X,,,,,,,
,TAVOLINI,8552900,,,,,X,,,,,X,,,,,,,
,TAVOLINI,8552924,,,,,X,,,,,,X,,,,,,
,TAVOLINI,8552931,,,,,X,,,,,,X,,,,,,
,TAVOLINI,8552948,,,,,X,,,,,,X,,,,,,
,TAVOLINI,50390,X,,,,,X,,X,,,X,,,,,,
,TAVOLINI,47598,X,,,,,X,,X,,,X,,,,,,
,TAVOLINI,58350,,X,,,,,,,,,X,,,,,,
,TAVOLINI,50536,X,,,,,X,,X,,,X,,,,,,
,TAVOLINI,50535,X,,,,,X,,X,,,X,,,,,,
x,SPECIALI,,,,,,,,,,,,,,,,,,
,SPECIALI,52502,,,,,,,,,,,,,,,,,
,SPECIALI,47304,,,,,,,,,,,,,,,,,
,SPECIALI,47310,,,,,,,,,,,,,,,,,
,SPECIALI,50656,,,,,,,,,,,,,,,,,
,SPECIALI,50655,,,,,,,,,,,,,,,,,
,SPECIALI,50010,,,,,,,,,,,,,,,,,
,SPECIALI,47561,,,,,,,,,,,,,,,,,
,SPECIALI,47770,,,,,,,,,,,,,,,,,
,SPECIALI,47120,,,,,,,,,,,,,,,,,
